,economy,regionwb,pop_scaled_wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,fin14_1,fin16,fin17a,fin17b,fin22a,fin22b,fin24,fin33,receive_wages,pay_utilities,remittances,mobileowner,internetaccess,merchantpay_dig,receive_welfare_payments,internet_fin_transc
36848,Gabon,2,1000.6064900623969,2,39.0,2,2,1.0,,0,2,2,2,2.0,2,2,3,1.0,2,2,5.0,1,1,0.0,2,1
36851,Gabon,2,266.3570460016572,2,32.0,2,5,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,1,1.0,1,1,1.0,2,1
36852,Gabon,2,1940.1784123207326,1,30.0,2,3,1.0,,1,1,1,1,1.0,2,1,1,2.0,1,4,1.0,1,1,1.0,2,1
36853,Gabon,2,641.6873311155163,1,29.0,2,2,1.0,,1,2,2,2,1.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,1
36856,Gabon,2,590.3913726999144,2,22.0,2,5,1.0,,1,2,2,2,2.0,2,2,5,2.0,2,4,1.0,1,1,0.0,2,1
36857,Gabon,2,210.08883472237696,2,27.0,3,1,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,1,3.0,1,1,0.0,2,1
36860,Gabon,2,932.7816236350801,2,33.0,2,5,1.0,,1,2,2,1,1.0,2,2,3,1.0,1,1,5.0,1,1,0.0,2,1
36867,Gabon,2,265.16198143021757,2,35.0,2,5,1.0,,1,2,1,1,2.0,2,1,2,1.0,1,1,5.0,1,2,0.0,2,1
36868,Gabon,2,210.08883472237696,2,36.0,2,3,1.0,,1,2,1,1,2.0,2,2,3,2.0,2,2,5.0,1,1,0.0,2,1
36871,Gabon,2,1808.6644945540195,2,27.0,1,5,1.0,,1,1,2,2,1.0,2,1,3,2.0,1,1,1.0,1,1,1.0,2,1
36872,Gabon,2,210.08883472237696,2,25.0,2,1,1.0,,1,2,2,2,1.0,2,1,2,2.0,1,1,1.0,1,1,1.0,2,1
36873,Gabon,2,553.9398391385515,2,49.0,2,5,1.0,,1,2,2,1,2.0,2,2,3,2.0,1,1,1.0,1,1,0.0,2,1
36874,Gabon,2,503.74536161989636,2,24.0,2,5,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,1
36876,Gabon,2,1393.632805081882,1,27.0,2,3,1.0,,1,2,2,2,1.0,2,1,7,2.0,2,4,1.0,1,2,0.0,2,1
36877,Gabon,2,310.52129943400155,1,21.0,2,2,1.0,,1,2,2,2,1.0,2,2,2,2.0,2,4,1.0,1,1,0.0,2,1
36878,Gabon,2,649.9617428441823,1,51.0,3,5,1.0,,1,2,1,1,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
36881,Gabon,2,216.12484711358047,1,36.0,2,3,1.0,,1,2,2,2,1.0,2,1,2,2.0,1,1,1.0,1,1,0.0,2,1
36882,Gabon,2,3053.210189739305,1,52.0,2,2,1.0,,1,2,1,2,1.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,1
36883,Gabon,2,210.08883472237696,2,33.0,2,5,1.0,,1,2,1,1,2.0,2,2,3,1.0,1,1,1.0,1,1,0.0,2,1
36885,Gabon,2,400.55263976522144,2,42.0,3,5,2.0,,1,2,2,2,2.0,2,2,3,1.0,1,1,5.0,1,1,0.0,2,1
36886,Gabon,2,371.1376288378941,2,23.0,2,3,1.0,,1,1,2,1,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
36893,Gabon,2,4914.8008904188555,1,18.0,1,3,2.0,,1,1,2,2,1.0,2,2,3,2.0,2,4,1.0,1,1,1.0,2,1
36896,Gabon,2,369.8246170393823,2,39.0,2,5,2.0,,1,2,1,1,2.0,1,2,4,2.0,1,1,1.0,1,1,0.0,2,1
36897,Gabon,2,271.229917589347,2,35.0,2,1,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,2,1.0,1,1,0.0,2,1
36898,Gabon,2,2331.9540590877073,2,26.0,1,4,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,4,3.0,1,1,0.0,2,1
36905,Gabon,2,3216.3608366063577,2,42.0,1,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,4,1.0,1,1,0.0,2,1
36907,Gabon,2,1393.632805081882,1,25.0,1,5,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
36908,Gabon,2,210.08883472237696,1,28.0,2,3,1.0,,1,2,2,2,1.0,2,2,2,2.0,2,2,1.0,1,1,0.0,2,1
36910,Gabon,2,210.08883472237696,2,25.0,2,5,1.0,,1,2,2,2,2.0,2,1,4,2.0,2,2,1.0,1,1,0.0,2,2
36914,Gabon,2,2736.586747438176,1,43.0,2,4,2.0,,0,2,2,1,1.0,2,2,3,2.0,2,1,1.0,1,1,0.0,2,1
36918,Gabon,2,412.06985847216424,1,33.0,3,3,1.0,,1,2,2,2,1.0,2,2,2,1.0,2,1,5.0,1,1,0.0,2,1
36920,Gabon,2,505.6898699340304,2,27.0,2,3,1.0,,1,2,2,1,2.0,2,2,2,2.0,1,1,1.0,1,1,0.0,2,1
36921,Gabon,2,402.95018631333767,1,25.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,1,5.0,1,1,0.0,2,1
36922,Gabon,2,271.229917589347,2,44.0,2,4,1.0,,1,2,1,1,2.0,1,2,3,1.0,2,1,1.0,1,1,0.0,2,1
36926,Gabon,2,1494.9673044527406,1,41.0,2,3,1.0,,1,1,2,1,1.0,2,2,1,1.0,1,2,1.0,1,1,1.0,2,1
36932,Gabon,2,1806.2416277624523,2,36.0,2,4,1.0,,1,2,1,1,2.0,1,1,1,1.0,1,4,1.0,1,1,0.0,2,1
36933,Gabon,2,344.7565153417159,2,30.0,2,4,1.0,,1,1,2,2,2.0,2,2,2,2.0,2,1,1.0,1,1,1.0,2,1
36934,Gabon,2,2081.540818204773,1,50.0,2,5,2.0,,1,2,2,2,1.0,2,2,2,1.0,2,1,1.0,1,1,0.0,2,1
36935,Gabon,2,337.1265799560194,2,29.0,3,2,1.0,,1,1,2,1,1.0,2,2,1,2.0,1,1,1.0,1,1,1.0,2,1
36939,Gabon,2,1402.23693176869,2,54.0,2,5,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,1,5.0,1,1,0.0,2,2
36942,Gabon,2,1565.3422065185216,2,26.0,1,1,1.0,,1,2,2,1,1.0,2,1,2,2.0,1,4,5.0,2,2,1.0,2,1
36943,Gabon,2,3771.1783467480695,1,22.0,1,3,1.0,,0,2,2,2,1.0,2,2,2,2.0,2,4,5.0,1,2,0.0,2,2
36946,Gabon,2,478.76011687583724,1,39.0,2,1,2.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,1.0,1,2,0.0,2,2
36949,Gabon,2,4645.974185440447,2,19.0,1,4,1.0,,0,2,1,2,2.0,2,2,1,2.0,2,4,3.0,1,1,0.0,2,2
36950,Gabon,2,549.4264779628847,1,30.0,2,5,2.0,,1,2,2,2,1.0,2,2,2,2.0,2,1,5.0,1,1,0.0,2,1
36951,Gabon,2,221.80092816714395,1,21.0,2,2,1.0,,1,2,2,1,2.0,2,2,1,2.0,2,1,5.0,1,1,0.0,2,2
36953,Gabon,2,685.4330941201076,2,48.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,2,1.0,1,1,1.0,2,1
36958,Gabon,2,221.80092816714395,1,22.0,2,4,1.0,,1,2,2,2,1.0,2,1,2,2.0,1,1,1.0,1,1,0.0,2,1
36959,Gabon,2,4310.879453009765,2,52.0,1,4,1.0,,0,2,1,2,1.0,2,2,2,2.0,2,3,5.0,1,1,0.0,2,2
36960,Gabon,2,210.08883472237696,2,31.0,2,4,1.0,,1,2,1,2,1.0,2,2,4,2.0,2,1,1.0,1,1,1.0,2,1
36963,Gabon,2,3642.018560391951,2,35.0,1,4,1.0,,1,1,2,2,2.0,2,2,2,2.0,1,4,1.0,1,1,1.0,2,1
36964,Gabon,2,1165.977029543851,2,30.0,2,5,1.0,,1,2,2,2,1.0,2,2,3,2.0,2,1,1.0,1,1,0.0,2,1
36966,Gabon,2,2331.9540590877073,2,32.0,2,4,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,4,1.0,1,1,0.0,2,1
36968,Gabon,2,641.6873311155163,1,33.0,1,3,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
36971,Gabon,2,361.63989011912844,2,40.0,3,5,1.0,,1,2,2,1,1.0,2,1,1,1.0,1,1,1.0,1,1,1.0,2,1
36973,Gabon,2,210.08883472237696,2,30.0,3,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,4,3.0,1,1,0.0,2,2
36974,Gabon,2,532.3569502307973,2,52.0,2,3,2.0,,1,2,1,2,1.0,2,1,3,1.0,1,1,1.0,1,1,0.0,2,1
36979,Gabon,2,811.6210574742954,2,30.0,2,5,1.0,,1,2,2,2,1.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,1
36980,Gabon,2,1996.7215944465922,2,20.0,2,2,1.0,,1,2,2,2,2.0,2,2,2,1.0,2,4,1.0,1,1,0.0,2,2
36984,Gabon,2,790.5594063152048,2,42.0,2,3,1.0,,0,2,2,2,2.0,2,1,3,2.0,2,4,5.0,1,1,0.0,2,2
36985,Gabon,2,210.08883472237696,2,28.0,2,1,1.0,,1,1,2,2,1.0,2,1,2,2.0,2,4,1.0,1,1,1.0,2,1
36987,Gabon,2,252.84493496701452,2,34.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,4,1.0,1,1,0.0,2,1
36989,Gabon,2,641.6873311155163,2,40.0,2,4,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,1,1.0,1,1,0.0,2,1
36991,Gabon,2,641.6873311155163,1,38.0,2,2,1.0,,1,1,1,1,2.0,2,1,3,2.0,1,4,1.0,1,2,1.0,2,1
36992,Gabon,2,302.21263973500396,1,33.0,3,5,1.0,,1,2,1,2,2.0,2,2,1,2.0,1,4,1.0,1,1,0.0,2,1
36993,Gabon,2,337.1265799560194,2,25.0,2,5,1.0,,1,1,1,1,2.0,2,2,3,2.0,1,1,3.0,1,1,1.0,2,1
36995,Gabon,2,252.84493496701452,2,30.0,2,4,1.0,,1,1,1,2,2.0,2,2,2,2.0,3,1,5.0,1,2,1.0,2,1
36998,Gabon,2,3800.463628892608,1,30.0,2,1,1.0,,1,2,2,2,1.0,2,2,4,2.0,1,4,2.0,1,1,0.0,2,1
37000,Gabon,2,252.84493496701452,2,29.0,2,1,1.0,,1,2,1,2,1.0,2,2,2,2.0,1,1,1.0,1,1,0.0,2,1
37001,Gabon,2,777.3180196959003,2,30.0,2,1,1.0,,1,2,2,2,2.0,2,1,3,2.0,3,4,2.0,1,1,0.0,2,1
37002,Gabon,2,6464.2718376115845,1,55.0,2,4,1.0,,1,2,2,2,2.0,2,2,7,1.0,1,4,5.0,1,1,0.0,2,2
37006,Gabon,2,604.4252794700066,1,30.0,2,5,1.0,,0,2,2,2,2.0,2,2,3,2.0,2,4,4.0,1,1,0.0,2,1
37007,Gabon,2,210.08883472237696,2,38.0,2,5,1.0,,1,1,1,2,2.0,2,1,1,2.0,1,1,5.0,1,1,1.0,2,1
37012,Gabon,2,2787.26561016375,1,25.0,2,3,1.0,,1,2,2,2,1.0,2,1,1,2.0,1,4,5.0,1,1,0.0,2,1
37013,Gabon,2,1403.230206239722,1,30.0,2,4,1.0,,1,1,2,1,2.0,2,1,7,2.0,2,1,1.0,1,1,1.0,2,1
37016,Gabon,2,210.08883472237696,1,37.0,2,4,1.0,,1,2,2,2,2.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,2
37018,Gabon,2,210.08883472237696,2,31.0,2,3,1.0,,1,2,1,1,1.0,2,1,2,2.0,1,4,1.0,1,1,0.0,2,1
37019,Gabon,2,251.3483979457748,2,40.0,2,5,1.0,,1,2,2,1,2.0,2,1,3,2.0,1,1,1.0,1,1,0.0,2,1
37022,Gabon,2,1174.006654888894,2,30.0,2,5,1.0,,1,2,2,1,1.0,2,1,3,2.0,1,1,1.0,1,1,0.0,2,1
37023,Gabon,2,1250.7581125779964,2,43.0,1,5,1.0,,1,1,2,2,1.0,2,2,4,2.0,1,1,5.0,1,1,1.0,2,1
37024,Gabon,2,6464.2718376115845,2,63.0,1,1,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,4,1.0,1,1,0.0,2,2
37025,Gabon,2,210.08883472237696,2,38.0,2,4,1.0,,1,2,1,1,2.0,1,1,2,1.0,1,1,1.0,1,1,0.0,2,1
37026,Gabon,2,641.6873311155163,2,27.0,1,5,1.0,,0,2,2,2,2.0,2,1,3,1.0,2,1,1.0,1,1,0.0,2,1
37030,Gabon,2,5494.0033471573015,1,49.0,1,2,1.0,,1,1,2,2,2.0,2,1,2,2.0,2,4,5.0,1,2,1.0,2,1
37032,Gabon,2,976.0784239779167,2,53.0,3,5,1.0,,1,1,2,2,2.0,2,1,2,2.0,1,1,1.0,1,1,1.0,2,1
37036,Gabon,2,434.0909983555127,1,30.0,2,3,2.0,,0,1,2,2,1.0,2,1,2,2.0,2,4,1.0,1,1,0.0,2,1
37037,Gabon,2,210.08883472237696,2,25.0,2,4,1.0,,1,2,1,1,2.0,1,1,1,1.0,3,4,2.0,1,1,0.0,2,2
37039,Gabon,2,1393.632805081882,1,33.0,2,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,2,2,5.0,1,1,0.0,2,1
37040,Gabon,2,2947.8145516661343,2,42.0,1,4,1.0,,1,1,1,1,1.0,2,2,1,2.0,1,1,1.0,1,1,1.0,2,1
37043,Gabon,2,272.38530710994047,2,30.0,2,4,2.0,,1,1,1,2,2.0,2,2,1,1.0,1,4,1.0,2,2,1.0,2,1
37047,Gabon,2,214.29339580936,2,41.0,3,5,1.0,,1,1,1,2,2.0,2,2,3,1.0,1,1,2.0,1,1,1.0,2,1
37050,Gabon,2,1165.977029543851,2,30.0,2,4,1.0,,1,2,1,1,2.0,2,1,3,1.0,1,1,1.0,1,1,0.0,2,1
37053,Gabon,2,5445.09842840052,2,15.0,1,2,2.0,,1,2,2,2,1.0,2,1,3,1.0,2,4,1.0,2,2,0.0,2,2
37059,Gabon,2,736.97232021421,2,25.0,2,4,1.0,,1,2,2,2,2.0,2,2,4,2.0,1,1,1.0,1,1,0.0,2,1
37063,Gabon,2,252.84493496701452,2,28.0,2,5,1.0,,1,1,2,2,2.0,2,2,2,2.0,1,4,2.0,1,1,1.0,2,1
37072,Gabon,2,210.08883472237696,2,33.0,2,3,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,2,1.0,1,1,0.0,2,1
37073,Gabon,2,210.08883472237696,2,31.0,2,4,1.0,,1,2,2,2,1.0,2,1,2,1.0,2,4,2.0,1,1,0.0,2,2
37075,Gabon,2,1250.7581125779964,2,37.0,2,4,1.0,,0,2,2,2,2.0,2,1,3,2.0,2,4,1.0,1,1,0.0,2,2
37077,Gabon,2,3856.5286241346203,1,22.0,2,2,2.0,,1,1,2,2,2.0,2,1,2,2.0,2,4,1.0,1,1,1.0,2,1
37078,Gabon,2,999.9372778885133,1,21.0,1,2,1.0,,1,2,1,1,1.0,2,1,1,2.0,1,1,1.0,1,1,0.0,2,1
37079,Gabon,2,273.8533388152436,2,27.0,2,5,1.0,,1,2,1,2,2.0,2,2,1,2.0,1,4,5.0,1,1,0.0,2,1
37083,Gabon,2,252.84493496701452,2,31.0,2,5,1.0,,1,1,2,2,2.0,2,2,3,2.0,1,4,1.0,1,1,1.0,2,1
37085,Gabon,2,796.3616029039289,1,27.0,1,1,1.0,,1,2,2,2,1.0,2,2,1,2.0,2,4,1.0,1,2,0.0,2,1
37086,Gabon,2,641.6873311155163,2,41.0,2,3,1.0,,1,1,2,2,1.0,2,1,7,2.0,1,1,2.0,1,1,1.0,2,1
37087,Gabon,2,210.08883472237696,1,27.0,2,4,1.0,,1,1,2,2,1.0,2,1,2,1.0,2,1,1.0,1,1,1.0,2,1
37090,Gabon,2,380.2549644505691,2,47.0,2,2,1.0,,1,2,2,1,2.0,2,1,2,2.0,1,4,1.0,1,1,0.0,2,1
37094,Gabon,2,210.08883472237696,1,26.0,2,2,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
37096,Gabon,2,761.7574965380063,1,47.0,2,1,1.0,,1,1,2,2,2.0,2,1,2,2.0,1,1,1.0,1,1,1.0,2,1
37097,Gabon,2,210.08883472237696,2,38.0,3,5,1.0,,1,2,2,2,1.0,2,2,3,1.0,1,2,3.0,1,1,0.0,2,1
37099,Gabon,2,364.1303618470458,2,40.0,2,2,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,1.0,1,1,0.0,2,1
37102,Gabon,2,210.08883472237696,2,28.0,2,2,1.0,,1,2,2,2,1.0,2,1,3,2.0,2,1,1.0,1,1,0.0,2,1
37105,Gabon,2,230.2006064633974,1,33.0,2,3,1.0,,1,2,2,2,1.0,2,1,7,2.0,2,4,1.0,1,1,0.0,2,1
37106,Gabon,2,302.21263973500396,1,,3,5,1.0,,1,2,2,2,1.0,2,2,1,2.0,1,1,5.0,1,1,0.0,2,2
37109,Gabon,2,210.08883472237696,2,27.0,2,4,1.0,,1,2,1,1,2.0,2,1,2,2.0,1,1,1.0,1,1,0.0,2,1
37110,Gabon,2,1080.902157216346,1,29.0,2,4,1.0,,1,2,2,2,1.0,2,1,4,2.0,2,1,1.0,1,1,0.0,2,1
37112,Gabon,2,1911.9636244368457,2,50.0,3,5,2.0,,1,2,2,2,2.0,2,1,6,1.0,1,2,1.0,1,1,0.0,2,1
37114,Gabon,2,2209.049054744836,2,29.0,1,1,1.0,,0,2,2,2,2.0,2,2,2,1.0,2,4,3.0,1,1,0.0,2,2
37118,Gabon,2,494.3766126269075,2,33.0,3,5,1.0,,1,2,2,1,2.0,2,1,6,2.0,2,1,1.0,1,1,1.0,2,1
37119,Gabon,2,1304.3122230134838,2,55.0,2,2,1.0,,1,1,2,1,1.0,2,1,4,2.0,1,1,2.0,1,2,1.0,2,1
37122,Gabon,2,210.08883472237696,1,34.0,2,5,1.0,,1,1,1,1,1.0,2,2,3,1.0,1,1,1.0,1,1,1.0,2,1
37124,Gabon,2,739.6492340787646,2,38.0,3,4,2.0,,1,2,1,1,2.0,2,1,2,1.0,1,4,1.0,1,1,1.0,2,1
37125,Gabon,2,2331.9540590877073,2,26.0,1,3,1.0,,1,2,1,2,2.0,1,1,3,2.0,2,4,1.0,1,2,0.0,2,1
37132,Gabon,2,6464.2718376115845,2,34.0,1,4,1.0,,0,2,1,2,1.0,2,2,3,2.0,2,2,3.0,1,1,0.0,2,2
37133,Gabon,2,210.08883472237696,2,28.0,2,5,1.0,,1,2,2,2,1.0,2,1,3,1.0,1,1,1.0,1,1,0.0,2,1
37135,Gabon,2,1853.6789031078245,2,23.0,2,2,1.0,,1,2,1,1,1.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,1
37139,Gabon,2,517.5354990566692,1,18.0,2,1,1.0,,1,1,2,2,2.0,2,1,3,1.0,2,4,1.0,1,1,1.0,2,1
37143,Gabon,2,210.08883472237696,2,35.0,2,4,1.0,,1,1,1,1,2.0,1,2,4,1.0,1,1,1.0,1,1,1.0,2,1
37146,Gabon,2,210.08883472237696,2,35.0,3,4,1.0,,1,1,2,1,2.0,1,1,3,1.0,1,1,1.0,1,1,1.0,1,1
37147,Gabon,2,210.08883472237696,1,35.0,1,1,1.0,,1,2,1,2,1.0,2,1,1,2.0,2,4,1.0,1,1,0.0,2,1
37148,Gabon,2,839.5810612708783,2,43.0,2,3,1.0,,0,1,1,2,2.0,2,2,3,2.0,2,4,1.0,2,1,0.0,2,1
37150,Gabon,2,271.229917589347,2,38.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,1,5.0,1,1,0.0,2,1
37154,Gabon,2,210.08883472237696,2,29.0,2,3,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,4,5.0,1,1,0.0,2,2
37157,Gabon,2,310.52129943400155,1,24.0,3,5,1.0,,1,1,2,2,1.0,2,2,2,2.0,3,1,1.0,1,1,1.0,2,1
37158,Gabon,2,4258.06400657362,2,20.0,1,5,1.0,,1,2,1,2,1.0,2,1,1,2.0,2,4,3.0,1,2,0.0,2,2
37164,Gabon,2,210.08883472237696,2,34.0,2,3,1.0,,1,2,2,1,2.0,2,2,3,1.0,1,1,1.0,1,1,0.0,2,1
37165,Gabon,2,714.7189214731405,2,40.0,1,1,1.0,,1,1,2,2,1.0,2,1,3,2.0,1,1,1.0,1,2,1.0,2,1
37179,Gabon,2,833.8387417186633,2,37.0,2,3,1.0,,1,2,2,2,2.0,2,1,3,2.0,2,1,1.0,2,1,0.0,2,1
37180,Gabon,2,2586.5276718058612,2,45.0,2,2,1.0,,1,2,1,2,1.0,1,2,3,2.0,1,1,1.0,1,1,0.0,2,2
37181,Gabon,2,432.24969422715964,1,39.0,2,1,1.0,,1,2,1,1,1.0,1,1,2,2.0,1,1,1.0,1,1,0.0,2,1
37183,Gabon,2,1185.4561140868325,2,44.0,2,3,1.0,,1,2,2,2,2.0,2,1,4,1.0,1,1,1.0,1,1,0.0,2,1
37184,Gabon,2,210.08883472237696,2,33.0,2,1,1.0,,1,2,2,2,2.0,2,2,3,2.0,2,4,1.0,1,1,0.0,2,1
37185,Gabon,2,2501.5162251559955,2,35.0,1,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,4,1.0,1,1,0.0,2,1
37188,Gabon,2,1250.7581125779964,2,35.0,1,5,1.0,,1,1,2,1,1.0,2,2,6,1.0,1,1,2.0,1,1,1.0,2,1
37189,Gabon,2,1083.7449766574753,2,41.0,1,4,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
37190,Gabon,2,2247.1234656133383,2,45.0,2,3,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,2,1.0,1,1,0.0,2,1
37191,Gabon,2,1191.335372508889,2,21.0,2,2,1.0,,1,1,1,2,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
37193,Gabon,2,210.08883472237696,2,35.0,2,4,1.0,,1,1,2,1,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
37195,Gabon,2,6464.2718376115845,2,61.0,2,3,1.0,,1,2,1,2,1.0,2,1,4,1.0,1,1,1.0,1,1,0.0,2,1
37196,Gabon,2,210.08883472237696,1,28.0,2,1,1.0,,1,2,2,2,1.0,2,2,1,2.0,2,4,3.0,1,1,1.0,2,1
37197,Gabon,2,2995.082391669882,2,20.0,1,5,1.0,,1,2,2,2,2.0,2,1,1,2.0,1,2,5.0,1,1,0.0,2,2
37200,Gabon,2,210.08883472237696,1,29.0,2,5,1.0,,1,2,2,2,1.0,2,2,6,2.0,3,4,1.0,1,1,0.0,2,1
37202,Gabon,2,369.8246170393823,2,36.0,2,2,1.0,,0,2,2,2,1.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
37208,Gabon,2,648.37454134074,1,43.0,3,5,1.0,,1,1,1,2,1.0,2,1,5,1.0,1,1,1.0,1,1,1.0,2,1
37211,Gabon,2,433.92746470140327,2,48.0,2,4,1.0,,1,1,2,1,2.0,1,2,3,2.0,1,2,1.0,1,1,1.0,2,1
37212,Gabon,2,271.229917589347,2,35.0,3,3,1.0,,0,2,2,2,2.0,2,2,6,2.0,2,2,1.0,1,1,0.0,2,2
37213,Gabon,2,252.84493496701452,2,25.0,2,1,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,1,1.0,1,1,0.0,2,1
37214,Gabon,2,342.09992056570223,2,22.0,2,4,1.0,,1,2,2,2,1.0,2,2,3,2.0,1,4,1.0,1,1,0.0,2,1
37216,Gabon,2,666.2725883107714,2,25.0,2,2,1.0,,1,2,2,2,2.0,2,1,4,1.0,2,1,1.0,1,1,0.0,2,1
37220,Gabon,2,210.08883472237696,1,20.0,2,2,1.0,,1,2,2,1,2.0,2,1,2,2.0,2,1,2.0,1,1,0.0,2,2
37228,Gabon,2,252.84493496701452,2,25.0,2,5,1.0,,1,1,1,2,1.0,2,2,3,2.0,2,1,1.0,1,1,1.0,2,1
37230,Gabon,2,641.6873311155163,1,28.0,2,2,1.0,,1,2,2,2,1.0,2,1,3,2.0,2,4,2.0,1,1,0.0,2,1
37234,Gabon,2,4732.710772795435,2,24.0,2,1,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,1,1.0,1,1,1.0,2,1
37237,Gabon,2,225.66243482869234,1,42.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,1,1.0,1,1,0.0,2,1
37240,Gabon,2,210.08883472237696,2,32.0,2,5,1.0,,1,2,2,1,1.0,2,2,1,1.0,1,4,3.0,1,1,0.0,1,1
37244,Gabon,2,653.9636385763166,2,23.0,2,1,1.0,,1,1,2,2,1.0,2,2,1,1.0,1,1,1.0,1,1,1.0,2,1
37251,Gabon,2,252.84493496701452,2,34.0,2,5,1.0,,0,2,2,2,2.0,2,2,1,2.0,2,4,3.0,1,1,0.0,2,2
37253,Gabon,2,641.6873311155163,1,35.0,1,3,1.0,,0,2,2,2,1.0,2,1,2,1.0,2,4,5.0,1,1,0.0,2,2
37254,Gabon,2,904.3322472770097,2,34.0,1,5,1.0,,0,2,2,2,1.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
37257,Gabon,2,1554.6360393918005,2,26.0,1,2,1.0,,1,1,1,2,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
37259,Gabon,2,420.7323747017207,1,27.0,2,4,1.0,,1,2,2,2,1.0,2,2,1,1.0,2,4,1.0,1,1,0.0,2,1
37260,Gabon,2,641.6873311155163,1,40.0,2,4,1.0,,1,2,1,2,1.0,2,1,3,2.0,2,1,1.0,1,1,0.0,2,1
37262,Gabon,2,1181.1441125023089,1,35.0,2,3,1.0,,1,2,2,2,1.0,2,1,2,2.0,2,1,1.0,1,1,0.0,2,1
37263,Gabon,2,6464.2718376115845,2,28.0,1,4,1.0,,0,2,2,2,1.0,2,2,2,2.0,2,2,5.0,1,2,0.0,2,2
37266,Gabon,2,1185.4561140868325,2,42.0,2,1,1.0,,1,1,2,2,2.0,2,2,1,1.0,1,1,4.0,2,1,1.0,2,1
37270,Gabon,2,5654.379675028458,2,38.0,1,1,2.0,,0,2,2,2,2.0,2,1,6,2.0,2,1,1.0,1,1,0.0,2,2
37274,Gabon,2,1298.9817009326307,2,18.0,2,5,1.0,,1,2,1,2,1.0,2,2,4,2.0,1,1,5.0,1,2,0.0,2,1
37275,Gabon,2,371.1376288378941,2,24.0,3,4,1.0,,1,1,2,1,1.0,2,1,1,2.0,1,1,1.0,1,1,1.0,2,1
37276,Gabon,2,252.84493496701452,2,34.0,2,5,1.0,,1,2,2,2,2.0,2,1,3,1.0,1,1,1.0,1,1,0.0,2,2
37278,Gabon,2,364.1303618470458,2,44.0,2,4,1.0,,1,1,2,2,2.0,1,1,2,1.0,1,2,1.0,1,1,1.0,2,1
37279,Gabon,2,332.25655853179586,2,54.0,2,4,1.0,,1,2,2,2,1.0,2,1,5,2.0,1,1,1.0,1,1,0.0,2,1
37281,Gabon,2,210.08883472237696,2,20.0,2,3,1.0,,1,2,1,2,2.0,2,1,2,2.0,1,4,1.0,1,1,0.0,2,1
37284,Gabon,2,248.24763584226534,2,41.0,2,3,2.0,,1,2,2,2,1.0,2,1,3,1.0,1,1,1.0,1,1,0.0,2,1
37286,Gabon,2,696.8164025409383,1,26.0,1,3,1.0,,1,2,2,2,2.0,2,1,3,1.0,2,4,1.0,1,1,0.0,2,1
37289,Gabon,2,696.8164025409383,1,27.0,1,1,1.0,,1,1,2,2,1.0,2,2,2,2.0,2,1,5.0,1,1,1.0,2,1
